ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-42963,Source2,3,2016-06-21 13:52:57,2016-06-21 14:52:57,33.927593,-118.265213,,,0.0,Accident on I-105 Westbound at Exit 9 Central Ave.,Avalon Blvd,Los Angeles,Los Angeles,CA,90061,US,US/Pacific,KHHR,2016-06-21 13:53:00,79.0,,54.0,29.96,10.0,SSE,11.5,,Clear,False,False,False,False,False,False,True,False,True,False,False,False,False,Day,Day,Day,Day
A-42964,Source2,2,2016-06-21 13:56:35,2016-06-21 14:41:35,34.036362,-118.167702,,,0.0,Accident on CA-60 Westbound near Exit 3B I-710.,Pomona Fwy W,Los Angeles,Los Angeles,CA,90022,US,US/Pacific,KCQT,2016-06-21 13:47:00,84.0,,47.0,29.94,10.0,SSE,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-42982,Source2,3,2016-06-21 15:01:21,2016-06-21 15:46:21,34.035141,-118.369514,,,0.0,Slow lane blocked due to accident on I-10 Eastbound near Exit 7B Fairfax Ave.,S Fairfax Ave,Los Angeles,Los Angeles,CA,90016-1004,US,US/Pacific,KSMO,2016-06-21 14:51:00,75.0,,66.0,29.96,10.0,WSW,9.2,,Clear,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-42988,Source2,2,2016-06-21 15:20:54,2016-06-21 16:05:54,34.1292,-118.347298,,,0.0,Shoulder blocked on exit ramp due to accident on US-101 Northbound near Exits 11 11B Cahuenga Blvd.,US-101 N,Los Angeles,Los Angeles,CA,90068,US,US/Pacific,KBUR,2016-06-21 14:53:00,87.1,,39.0,29.91,10.0,South,15.0,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-42989,Source2,2,2016-06-21 15:20:30,2016-06-21 16:05:30,33.949223,-118.291725,,,0.0,Accident on Colden Ave near Vermont Ave.,W Colden Ave,Los Angeles,Los Angeles,CA,90044,US,US/Pacific,KHHR,2016-06-21 14:53:00,78.1,,54.0,29.95,10.0,ESE,11.5,,Clear,False,False,False,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
A-42994,Source2,2,2016-06-21 15:36:24,2016-06-21 16:21:24,34.13308,-118.352524,,,0.0,Accident on US-101 Northbound near Buddy Holly Dr.,CA-170 S,Los Angeles,Los Angeles,CA,90068,US,US/Pacific,KBUR,2016-06-21 15:53:00,86.0,,38.0,29.9,10.0,SSE,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-42995,Source2,2,2016-06-21 15:35:25,2016-06-21 16:20:25,34.018738,-118.254936,,,0.0,Accident on Adams Blvd near Central Ave.,E Adams Blvd,Los Angeles,Los Angeles,CA,90011-5523,US,US/Pacific,KCQT,2016-06-21 15:47:00,82.0,,47.0,29.93,10.0,Variable,5.8,,Clear,False,False,False,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
A-42996,Source2,2,2016-06-21 15:40:25,2016-06-21 16:25:25,34.033283000000004,-118.181114,,,0.0,One lane blocked due to accident on CA-60 Westbound near Exit 3A Gage Ave.,E 3rd St,Los Angeles,Los Angeles,CA,90063,US,US/Pacific,KCQT,2016-06-21 15:47:00,82.0,,47.0,29.93,10.0,Variable,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-43008,Source2,2,2016-06-21 15:53:41,2016-06-21 16:38:41,34.059059000000005,-118.245499,,,0.0,One lane blocked due to accident on US-101 Southbound near Exits 3 3A 3B CA-110.,US-101 S,Los Angeles,Los Angeles,CA,90012,US,US/Pacific,KCQT,2016-06-21 15:47:00,82.0,,47.0,29.93,10.0,Variable,5.8,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-43019,Source2,2,2016-06-21 16:22:03,2016-06-21 17:07:03,34.039894,-118.284172,,,0.0,Accident on Washington Blvd near Hoover St.,S Hoover St,Los Angeles,Los Angeles,CA,90006-4913,US,US/Pacific,KCQT,2016-06-21 16:47:00,84.0,,43.0,29.91,10.0,Variable,4.6,,Clear,False,False,True,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
A-43025,Source2,3,2016-06-21 17:07:40,2016-06-21 17:52:40,34.039093,-118.439758,,,0.0,Accident on I-405 Southbound near Exit 54 Sawtelle Blvd.,I-405 N,Los Angeles,Los Angeles,CA,90064,US,US/Pacific,KSMO,2016-06-21 16:51:00,73.9,,68.0,29.94,10.0,SW,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-43027,Source2,2,2016-06-21 17:04:32,2016-06-21 17:49:32,34.071938,-118.266922,,,0.0,One lane blocked due to accident on US-101 Southbound near Exit 4B CA-2 Alvarado St.,N Alvarado St,Los Angeles,Los Angeles,CA,90026,US,US/Pacific,KCQT,2016-06-21 16:47:00,84.0,,43.0,29.91,10.0,Variable,4.6,,Clear,False,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day
A-43028,Source2,2,2016-06-21 17:05:54,2016-06-21 17:50:54,34.044228000000004,-118.167046,,,0.0,Accident on Floral Dr near McDonnell Ave.,Corporate Center Dr,Los Angeles,Los Angeles,CA,90022,US,US/Pacific,KCQT,2016-06-21 16:47:00,84.0,,43.0,29.91,10.0,Variable,4.6,,Clear,False,False,False,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
A-43030,Source2,2,2016-06-21 17:11:56,2016-06-21 17:56:56,33.988846,-118.353081,,,0.0,Accident on Slauson Ave near Overhill Dr.,W Slauson Ave,Los Angeles,Los Angeles,CA,90043-2718,US,US/Pacific,KHHR,2016-06-21 16:53:00,82.0,,45.0,29.93,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-43036,Source2,2,2016-06-21 17:28:10,2016-06-21 18:13:10,34.053642,-118.258003,,,0.0,Accident on CA-110 Northbound near Exit 23C-A Beaudry Ave.,CA-110 N,Los Angeles,Los Angeles,CA,90071,US,US/Pacific,KCQT,2016-06-21 17:47:00,78.1,,60.0,29.91,10.0,Variable,3.5,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-43040,Source2,3,2016-06-21 17:35:37,2016-06-21 18:20:37,34.122634999999995,-118.478424,,,0.0,Slow lane blocked due to accident on I-405 Northbound near Exit 61 Skirball Center Dr.,Skirball Center Dr,Los Angeles,Los Angeles,CA,90077,US,US/Pacific,KSMO,2016-06-21 17:51:00,71.1,,75.0,29.93,10.0,SW,9.2,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-43041,Source2,2,2016-06-21 17:37:22,2016-06-21 18:22:22,34.062588,-118.248718,,,0.0,Accident on CA-110 Southbound near Exit 24A US-101.,CA-110 N,Los Angeles,Los Angeles,CA,90012,US,US/Pacific,KCQT,2016-06-21 17:47:00,78.1,,60.0,29.91,10.0,Variable,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-43045,Source2,3,2016-06-21 17:42:13,2016-06-21 18:27:13,34.031662,-118.426659,,,0.0,Right hand shoulder blocked due to accident on I-10 Eastbound near Exits 3A 3B I-405.,I-10 E,Los Angeles,Los Angeles,CA,90064,US,US/Pacific,KSMO,2016-06-21 17:51:00,71.1,,75.0,29.93,10.0,SW,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-43047,Source2,3,2016-06-21 17:41:06,2016-06-21 18:26:06,34.049640999999994,-118.214172,,,0.0,Right hand shoulder blocked due to accident on I-5 I-10 Northbound near Exit 135B Cesar E Chavez Ave.,Golden State Fwy S,Los Angeles,Los Angeles,CA,90033,US,US/Pacific,KCQT,2016-06-21 17:47:00,78.1,,60.0,29.91,10.0,Variable,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-43050,Source2,3,2016-06-21 17:57:50,2016-06-21 18:42:50,33.975151000000004,-118.383858,,,0.0,Two lanes blocked due to accident on I-405 Northbound near Exits 49 49B Sepulveda Blvd.,I-405 N,Los Angeles,Los Angeles,CA,90045,US,US/Pacific,KLAX,2016-06-21 17:53:00,71.1,,75.0,29.93,8.0,WSW,12.7,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-43054,Source2,3,2016-06-21 18:21:44,2016-06-21 19:06:44,34.047024,-118.446587,,,0.0,Accident on I-405 Southbound near Exit 55A Cotner Ave.,I-405 N,Los Angeles,Los Angeles,CA,90025,US,US/Pacific,KSMO,2016-06-21 17:51:00,71.1,,75.0,29.93,10.0,SW,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-43056,Source2,3,2016-06-21 18:20:43,2016-06-21 19:05:43,34.003772999999995,-118.281029,,,0.0,Accident on I-110 Northbound near Exits 19 19B Flower St.,Harbor Fwy N,Los Angeles,Los Angeles,CA,90037,US,US/Pacific,KCQT,2016-06-21 18:47:00,75.9,,64.0,29.93,10.0,West,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-43057,Source2,2,2016-06-21 18:19:45,2016-06-21 19:19:45,33.960148,-118.244179,,,0.0,Accident on Maie Ave near CA-42 Firestone Blvd.,Firestone Blvd,Los Angeles,Los Angeles,CA,90002,US,US/Pacific,KHHR,2016-06-21 17:53:00,75.0,,64.0,29.93,10.0,West,8.1,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-43062,Source2,3,2016-06-21 18:26:47,2016-06-21 19:11:47,34.000633,-118.174973,,,0.0,Right hand shoulder blocked due to accident on I-710 Southbound near Exits 17A 17B Atlantic Blvd.,Long Beach Fwy S,Los Angeles,Los Angeles,CA,90058,US,US/Pacific,KCQT,2016-06-21 18:47:00,75.9,,64.0,29.93,10.0,West,5.8,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-43069,Source2,3,2016-06-21 18:30:29,2016-06-21 19:15:29,34.018448,-118.280075,,,0.0,Right hand shoulder blocked due to accident on I-110 Southbound near Exit 20B Exposition Blvd.,I-110 S,Los Angeles,Los Angeles,CA,90007,US,US/Pacific,KCQT,2016-06-21 18:47:00,75.9,,64.0,29.93,10.0,West,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-43076,Source2,2,2016-06-21 18:43:43,2016-06-21 19:28:43,33.930962,-118.293098,,,0.0,Accident on Imperial Hwy near New Hampshire Ave.,W Imperial Hwy,Los Angeles,Los Angeles,CA,90044-1314,US,US/Pacific,KHHR,2016-06-21 18:53:00,71.1,,73.0,29.94,10.0,West,6.9,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-43086,Source2,2,2016-06-21 19:27:07,2016-06-21 20:12:07,33.929466,-118.25428,,,0.0,Accident on CA-90 Imperial Hwy near Central Ave.,E Imperial Hwy,Los Angeles,Los Angeles,CA,90059,US,US/Pacific,KHHR,2016-06-21 19:53:00,71.1,,73.0,29.94,10.0,WNW,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-43089,Source2,3,2016-06-21 19:23:24,2016-06-21 20:08:24,34.018963,-118.178658,,,0.0,Right hand shoulder blocked due to accident on I-5 Southbound near Exit 131A Telegraph Rd.,E Olympic Blvd,Los Angeles,Los Angeles,CA,90023,US,US/Pacific,KCQT,2016-06-21 19:47:00,73.0,,71.0,29.93,10.0,West,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-43092,Source2,3,2016-06-21 19:42:39,2016-06-21 20:27:39,34.037037,-118.377533,,,0.0,Right hand shoulder blocked due to accident on I-10 Eastbound near Exit 7A La Cienega Blvd.,S La Cienega Blvd,Los Angeles,Los Angeles,CA,90034,US,US/Pacific,KSMO,2016-06-21 19:51:00,68.0,,84.0,29.95,8.0,SW,4.6,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-43096,Source2,3,2016-06-21 19:43:41,2016-06-21 20:28:41,34.01593,-118.173027,,,0.0,Right hand shoulder blocked due to accident on I-710 Southbound near Exits 18A 18B I-5.,Long Beach Fwy S,Los Angeles,Los Angeles,CA,90040,US,US/Pacific,KCQT,2016-06-21 19:47:00,73.0,,71.0,29.93,10.0,West,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-43104,Source2,3,2016-06-21 19:57:52,2016-06-21 20:42:52,34.020927,-118.195328,,,0.0,Right hand shoulder blocked due to accident on I-5 Southbound near Exits 132 132A Calzona St.,Santa Ana Fwy S,Los Angeles,Los Angeles,CA,90023,US,US/Pacific,KCQT,2016-06-21 19:47:00,73.0,,71.0,29.93,10.0,West,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-43110,Source2,3,2016-06-21 20:05:11,2016-06-21 20:50:11,33.960133,-118.280518,,,0.0,Accident on I-110 Southbound near Exit 16 CA-42 Manchester Ave. On the median.,W Manchester Ave,Los Angeles,Los Angeles,CA,90003,US,US/Pacific,KHHR,2016-06-21 19:53:00,71.1,,73.0,29.94,10.0,WNW,4.6,,Clear,False,False,True,False,False,False,False,False,True,True,False,False,False,Day,Day,Day,Day
A-43111,Source2,2,2016-06-21 20:06:48,2016-06-21 20:51:48,33.923763,-118.246277,,,0.0,Accident on Compton Ave near 120th St.,Compton Ave,Los Angeles,Los Angeles,CA,90059-2933,US,US/Pacific,KHHR,2016-06-21 19:53:00,71.1,,73.0,29.94,10.0,WNW,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-43132,Source2,2,2016-06-21 20:43:20,2016-06-21 21:28:20,33.97393,-118.24987,,,0.0,Accident on 73rd St near Parmelee Ave.,Parmelee Ave,Los Angeles,Los Angeles,CA,90001-3052,US,US/Pacific,KCQT,2016-06-21 20:47:00,72.0,,73.0,29.94,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-43141,Source2,3,2016-06-21 20:55:55,2016-06-21 21:40:55,34.034599,-118.437279,,,0.0,Right hand shoulder blocked due to accident on I-405 Northbound near Exits 53 53A 53B I-10.,Exposition Blvd,Los Angeles,Los Angeles,CA,90064,US,US/Pacific,KSMO,2016-06-21 20:51:00,68.0,,84.0,29.95,9.0,SW,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-43142,Source2,3,2016-06-21 20:57:18,2016-06-21 21:42:18,33.996494,-118.280632,,,0.0,Right hand shoulder blocked due to accident on I-110 Southbound near Exit 19A Grand Ave.,W 51st St,Los Angeles,Los Angeles,CA,90037,US,US/Pacific,KCQT,2016-06-21 20:47:00,72.0,,73.0,29.94,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-43143,Source2,2,2016-06-21 20:56:20,2016-06-21 21:41:20,34.051617,-118.260567,,,0.0,Right hand shoulder blocked due to accident on CA-110 Southbound near Exit 23C-A Beaudry Ave.,CA-110 S,Los Angeles,Los Angeles,CA,90017,US,US/Pacific,KCQT,2016-06-21 20:47:00,72.0,,73.0,29.94,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-43144,Source2,2,2016-06-21 20:59:56,2016-06-21 21:44:56,34.14732,-118.227646,,,0.0,Accident on CA-134 Westbound near Exits 9A 9B CA-2.,CA-134 W,Los Angeles,Los Angeles,CA,90041,US,US/Pacific,KCQT,2016-06-21 20:47:00,72.0,,73.0,29.94,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-43148,Source2,3,2016-06-21 21:06:23,2016-06-21 21:51:23,34.082169,-118.224617,,,0.0,Accident on I-5 Northbound at Exit 137A CA-110.,N Figueroa St,Los Angeles,Los Angeles,CA,90065,US,US/Pacific,KCQT,2016-06-21 20:47:00,72.0,,73.0,29.94,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-43154,Source2,3,2016-06-21 21:23:44,2016-06-21 22:08:44,34.038456,-118.27401,,,0.0,One lane blocked due to accident on I-110 Southbound at Exit 21 I-10.,CA-110 S,Los Angeles,Los Angeles,CA,90015,US,US/Pacific,KCQT,2016-06-21 21:47:00,71.1,,75.0,29.95,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-43157,Source2,3,2016-06-21 21:43:19,2016-06-21 22:28:19,34.077316,-118.469948,,,0.0,One lane blocked due to accident on I-405 Northbound at Exit 57B Sepulveda Blvd.,I-405 N,Los Angeles,Los Angeles,CA,90049,US,US/Pacific,KSMO,2016-06-21 21:51:00,66.9,,87.0,29.96,7.0,SW,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-43162,Source2,3,2016-06-21 22:21:12,2016-06-21 22:51:12,34.031147,-118.217751,,,0.0,Accident on I-5 Northbound at Exits 134A 134B CA-60.,I-5 N,Los Angeles,Los Angeles,CA,90023,US,US/Pacific,KCQT,2016-06-21 22:47:00,70.0,,78.0,29.94,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-43166,Source2,3,2016-06-21 22:42:52,2016-06-21 23:27:52,34.072959999999995,-118.219391,,,0.0,Slow lane blocked due to accident on I-5 Southbound at Exits 136 136A 136B Avenue 21.,Golden State Fwy S,Los Angeles,Los Angeles,CA,90031,US,US/Pacific,KCQT,2016-06-21 22:47:00,70.0,,78.0,29.94,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-43170,Source2,2,2016-06-22 00:10:37,2016-06-22 00:55:37,33.934032,-118.300308,,,0.0,Accident on Normandie Ave at 111th St.,W 111th St,Los Angeles,Los Angeles,CA,90047-4924,US,US/Pacific,KHHR,2016-06-22 00:16:00,64.9,,90.0,29.94,5.0,West,6.9,,Scattered Clouds,False,False,False,False,False,False,False,False,False,True,False,False,False,Night,Night,Night,Night
A-43174,Source2,2,2016-06-22 01:28:36,2016-06-22 02:28:36,34.152190999999995,-118.282997,,,0.0,Two lanes blocked due to accident on CA-134 Eastbound at Exit 5B I-5.,CA-134 E,Los Angeles,Los Angeles,CA,90027,US,US/Pacific,KCQT,2016-06-22 01:47:00,66.0,,90.0,29.91,6.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
